timestamp,source,src_ip,dst_ip,protocol,risk_level,risk_score,attack_type,nslkdd_rf,nslkdd_if,cicids_rf,cicids_if,nslkdd_anom_score,cicids_anom_score
2026-03-26 12:46:32,random,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:33,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:33,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:34,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:34,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:35,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:36,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:37,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:38,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:39,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:41,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:42,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:45,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:48,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:53,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:53,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:55,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:56,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:57,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:58,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:46:59,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:00,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:01,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:02,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:04,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:05,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:06,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:08,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:09,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:10,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:12,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:13,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:14,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:15,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:16,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:18,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:19,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:20,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:22,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
2026-03-26 12:47:23,live,,,2,Medium,31.4,Normal,0,0,0,0,-0.45374906612820803,-0.32904210741509976
