timestamp,source,src_ip,dst_ip,protocol,risk_level,risk_score,attack_type,nslkdd_rf,nslkdd_if,cicids_rf,cicids_if,nslkdd_anom_score,cicids_anom_score
2026-03-29 16:27:54,random,,,1.0,High,58.4,DoS Attack,1,1,0,0,-0.5995236553970452,-0.3257833147076861
2026-03-29 16:27:54,live,,,1,High,58.4,DoS Attack,1,1,0,0,-0.5995236553970452,-0.3257833147076861
2026-03-29 16:28:52,live,,,icmp,Medium,40.0,Anomalous Behaviour Detected,0,1,0,0,-0.5273884525683322,-0.36314877006330243
2026-03-29 16:29:43,live,,,tcp,High,66.0,Probe / Scan,1,1,0,1,-0.6726116311484402,-0.5583898794689878
2026-03-29 16:31:31,live,,,tcp,Medium,43.8,Anomalous Behaviour Detected,0,1,0,1,-0.49776689483820624,-0.6778989361619358
2026-03-29 18:27:35,random,,,1.0,Medium,27.3,Normal,0,0,0,0,-0.42516560043089896,-0.3257833147076861
2026-03-29 18:27:35,live,,,1,Medium,27.3,Normal,0,0,0,0,-0.42516560043089896,-0.3257833147076861
2026-03-29 19:36:42,random,,,1.0,Medium,28.4,Normal,0,0,0,0,-0.44333121257966884,-0.3257833147076861
2026-03-29 19:36:43,live,,,1,Medium,28.4,Normal,0,0,0,0,-0.44333121257966884,-0.3257833147076861
2026-03-29 19:38:47,live,,,tcp,High,59.7,Anomalous Behaviour Detected,0,1,0,1,-0.6720679045892272,-0.6841679660527589
2026-03-29 19:40:03,live,,,tcp,High,63.7,Probe / Scan,1,1,0,1,-0.6726116311484402,-0.5544543991674566
2026-03-29 19:40:37,live,,,tcp,Medium,44.0,DoS Attack,0,1,0,1,-0.49911584845855256,-0.6778989361619358
2026-03-29 19:41:14,live,,,tcp,High,54.1,Brute Force Attack — FTP,0,1,0,1,-0.5514707105463226,-0.5290680178730532
